2017, 133, aalto university, 57, https://www.topuniversities.com/universities/aalto-university, Finland, Espoo, Europe
2017, 117, aarhus university, 60, https://www.topuniversities.com/universities/aarhus-university, Denmark, , Europe
2017, -, beihang university (former buaa), 0, https://www.topuniversities.com/universities/beihang-university-former-buaa, China (Mainland), Beijing, Asia
2017, -, bocconi university, 0, https://www.topuniversities.com/universities/bocconi-university, Italy, Milan, Europe
2017, 89, boston university, 65, https://www.topuniversities.com/universities/boston-university, United States, Boston, North America
2017, 49, brown university, 78, https://www.topuniversities.com/universities/brown-university, United States, Providence, North America
2017, 5, california institute of technology (caltech), 97, https://www.topuniversities.com/universities/california-institute-technology-caltech, United States, Pasadena, North America
2017, 140, cardiff university, 56, https://www.topuniversities.com/universities/cardiff-university, United Kingdom, Cardiff, Europe
2017, 58, carnegie mellon university, 74, https://www.topuniversities.com/universities/carnegie-mellon-university, United States, Pittsburgh, North America
2017, 139, chalmers university of technology, 56, https://www.topuniversities.com/universities/chalmers-university-technology, Sweden, Gothenburg, Europe
2017, 55, city university of hong kong, 75, https://www.topuniversities.com/universities/city-university-hong-kong, Hong Kong SAR, Hong Kong, Asia
2017, 20, columbia university, 89, https://www.topuniversities.com/universities/columbia-university, United States, New York City, North America
2017, 16, cornell university, 90, https://www.topuniversities.com/universities/cornell-university, United States, Ithaca, North America
2017, 62, delft university of technology, 72, https://www.topuniversities.com/universities/delft-university-technology, Netherlands, Delft, Europe
2017, 24, duke university, 86, https://www.topuniversities.com/universities/duke-university, United States, Durham, North America
2017, 74, durham university, 69, https://www.topuniversities.com/universities/durham-university, United Kingdom, Durham, Europe
2017, -, ebs business school, 0, https://www.topuniversities.com/universities/ebs-business-school, Germany, Wiesbaden, Europe
2017, 33, ecole normale supérieure|| paris, 83, https://www.topuniversities.com/universities/ecole-normale-superieure-paris, France, Paris, Europe
2017, 53, ecole polytechnique, 76, https://www.topuniversities.com/universities/ecole-polytechnique, France, Palaiseau, Europe
2017, 121, eindhoven university of technology, 59, https://www.topuniversities.com/universities/eindhoven-university-technology, Netherlands, Eindhoven, Europe
2017, 149, emory university, 54, https://www.topuniversities.com/universities/emory-university, United States, Atlanta, North America
2017, 14, epfl, 91, https://www.topuniversities.com/universities/epfl, Switzerland, Lausanne, Europe
2017, 144, erasmus university rotterdam , 56, https://www.topuniversities.com/universities/erasmus-university-rotterdam, Netherlands, Rotterdam, Europe
2017, -, essec business school, 0, https://www.topuniversities.com/universities/essec-business-school, France, Cergy, Europe
2017, 8, eth zurich - swiss federal institute of technology, 94, https://www.topuniversities.com/universities/eth-zurich-swiss-federal-institute-technology, Switzerland, Zürich, Europe
2017, 123, freie universitaet berlin, 59, https://www.topuniversities.com/universities/freie-universitaet-berlin, Germany, Berlin, Europe
2017, 43, fudan university, 79, https://www.topuniversities.com/universities/fudan-university, China (Mainland), Shanghai, Asia
2017, 71, georgia institute of technology, 70, https://www.topuniversities.com/universities/georgia-institute-technology, United States, Atlanta, North America
2017, 131, ghent university, 58, https://www.topuniversities.com/universities/ghent-university, Belgium, Ghent, Europe
2017, 3, harvard university, 98, https://www.topuniversities.com/universities/harvard-university, United States, Cambridge, North America
2017, -, hec paris school of management, 0, https://www.topuniversities.com/universities/hec-paris-school-management, France, Paris, Europe
2017, 130, hokkaido university, 58, https://www.topuniversities.com/universities/hokkaido-university, Japan, Sapporo, Asia
2017, -, hufs - hankuk (korea) university of foreign studies , 0, https://www.topuniversities.com/universities/hufs-hankuk-korea-university-foreign-studies, South Korea, Seoul, Asia
2017, 121, humboldt-universität zu berlin, 59, https://www.topuniversities.com/universities/humboldt-universitat-zu-berlin, Germany, Berlin, Europe
2017, 9, imperial college london, 94, https://www.topuniversities.com/universities/imperial-college-london, United Kingdom, London, Europe
2017, 17, johns hopkins university, 89, https://www.topuniversities.com/universities/johns-hopkins-university, United States, Baltimore, North America
